OLS is helping me work openly,OLS is helping me encourage others to work openly,Which of the following aspects of the cohort call work well?,What should we improve in cohort calls?,Which of the following statements is true regarding the usefulness of the topics introduced at the OLS?,How much time do you spend on assignments on average? (not meetings),Which of the following mode of communication you find most effective?,How many cohort calls have been able to attend or watch in this round?,To what extent did your mentor meet your expectations?,Would you like to work with your mentor in future?
5,3,"Information on before, during and after the call, Talks by the guest speakers, Shared note-taking on the google doc",Nothing in particular comes to mind,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,Weekly emails from the organisers,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
4,4,"Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities","Information on before, during and after the call, Shared note-taking on the google doc, Which of the following aspects of the cohort call work well",I have been able to use SOME concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Slack channels to connect with others",I was not able to attend the first call or last week's call. ,4,Yes
5,5,All of the above,"Breakout room activities, Opportunity to get to know others, Break out rooms are often too short to get to know other people",I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,All of the above,Opportunity to get to know others,I have been able to use MOST concepts introduced at OLS so far,3+ hours / week,"Weekly emails from the organisers, Slack channels to connect with others, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Shared note-taking on the google doc, Opportunity to get to know others, All of the above",nothing as of now,I have been able to use SOME concepts introduced at OLS so far,3+ hours / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Opportunity to get to know others",Translation in french ,I have been able to use SOME concepts introduced at OLS so far,3+ hours / week,"Weekly emails from the organisers, Slack channels to connect with others, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",3,Maybe
5,5,All of the above,"Breakout room activities, Shared note-taking on the google doc",I have been able to use SOME concepts introduced at OLS so far,3+ hours / week,All of the above,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",4,Yes
5,5,"Information on before, during and after the call, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others",Breakout room activities,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Website with links to various resources","I have attended 3 cohort calls, and watched the missed call on YouTube",5,Yes
5,4,"Information on before, during and after the call, Talks by the guest speakers, Opportunity to get to know others",Breakout room activities,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,Weekly emails from the organisers,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Opportunity to get to know others",-,I have been able to use MOST concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
4,5,"Information on before, during and after the call, Opportunity to get to know others",Breakout room activities,I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others","Breakout room activities, Opportunity to get to know others",I have been able to use MOST concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others, All of the above",Breakout room activities,I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,practice how to work with other people,short videos to be shared with students instead of online face to face talks (e-meetings),I have been able to use VERY FEW concepts introduced at OLS so far,3+ hours / week,Weekly emails from the organisers,"I watched all the cohort calls on YouTube, but have not attended any call so far",1,No
5,5,Introduction and icebreaker led by the hosts,Breakout room activities,I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,Weekly emails from the organisers,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,Introduction and icebreaker led by the hosts,Breakout room activities,I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Google groups for tracking weekly information","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,All of the above,One hour or 30mins reminders before cohort calls,I have been able to use MOST concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,All of the above,"Information on before, during and after the call",I have been able to use MOST concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended more than 2 cohort calls, and watched some missed calls on YouTube but there are some of them that I have yet to watch",5,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Shared note-taking on the google doc, Opportunity to get to know others, All of the above, Learning from others ",Adding more time for breakout rooms,I have been able to use MOST concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Slack channels to connect with others, Google groups for tracking weekly information, Website with links to various resources, All of the above",i have attended in most cohort calls and watched  2 on youtube ,5,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Opportunity to get to know others",-,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,Weekly emails from the organisers,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others","Introduction and icebreaker led by the hosts, Breakout room activities",I have been able to use SOME concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
4,4,"Information on before, during and after the call, Introduction and icebreaker led by the hosts","Haven't attended much. Was seeing mainly in Youtube, so would like to skip the question.",I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,OLS Calendar,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
