How were your overall mentorship training and support experience in OLS?,What expectations from the OLS program were met and where can we do better?,How was your overall experience with the mentoring calls with your mentee?,"If you followed the cohort calls (notes or videos), which of the following topics introduced in these cohort calls were useful for you?","Would you be interested in returning to the next cohort as a mentor or expert, and/or join our steering committee?",Anything else you would like to share with us?
I felt supported as a mentor and the training offered in the OLS-2 was adequate,"Overall, I really enjoyed the experience but since this was my first time mentoring, I don't have any other experiences to compare it to. I really enjoyed the mentoring workshop as I was able to learn a lot from it. 
I also liked how supportive and helpful the community is and I enjoyed listening to the stories and experiences from other mentors during our mentor check in call. I think it would have been great to have more exchange in from of informal chats with other mentors throughout the program.","Mentoring calls were somewhat constructive, Mentoring calls were mostly constructive","Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, Designing for inclusion: Implicit bias, Diversity and Inclusion",I would take a break but please keep me informed about the next cohort,Thank you for all the wonderful work you're doing! 
"I felt supported as a mentor and the training offered in the OLS-2 was adequate, I enjoyed my participation and did not find the experience overwhelming","I expected more engagement from my mentee in the OLS-2 cohort topics throughout the program, rather than specifically with the science of their project. Maybe this is my fault, for not discussing expectations more clearly upfront, or maybe this is ok. It just wasn't what I was expecting. ",Mentoring calls were mostly constructive,"Applying FAIR principles, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mental health, self care, personal ecology, Ally skills, Final presentation call (open and live streamed)",Yes I'd like to return as a mentor,
"I felt supported as a mentor and the training offered in the OLS-2 was adequate, I found the experience frustrating. I think that the mentees and I failed to clarify and describe what we expected from the relationship. My feeling through the whole program was that they were looking for a mentor who gave them specific knolwedge, ideas for solutions to their problems - while I wanted to be more of a coach, someone to listen and provide structure to their discussions. I was left feeling that i had done a poor job as a mentor.",,Mentoring calls were somewhat constructive,,Yes I'd like to return as a mentor,
"I felt supported as a mentor and the training offered in the OLS-2 was adequate, I enjoyed my participation and did not find the experience overwhelming","Mentee expected to achieve 100% of the project milestones within program time period. However, milestones  that needed infrastructure development stalled due to lack of funds. Funds set aside for such cases will be of help in the future.","Mentoring calls were mostly constructive, Mentoring calls were always constructive","Designing for inclusion: Implicit bias, Diversity and Inclusion, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Final presentation call (open and live streamed)",I would take a break but please keep me informed about the next cohort,
I felt supported as a mentor and the training offered in the OLS-2 was adequate,I think clarification around co-mentoring can be improved. I felt much more at ease when I didn't have to worry about treading on my co-mentor's toes.,Mentoring calls were mostly constructive,,Yes I'd like to return as a mentor,
"I felt supported as a mentor and the training offered in the OLS-2 was adequate, I enjoyed my participation and did not find the experience overwhelming","This takes practice but I was able to contribute just enough and not overdue my commitment. This meant I showed up every other week for my mentor, was an ""expert"" for two other groups, and would jump into Slack when I could.",Mentoring calls were always constructive,Final presentation call (open and live streamed),"Yes I'd like to return as a mentor, Yes I'd like to return as an expert",
Other,Other,Mentoring calls were always constructive,,I would like to not use platform that collects data (more details in email),
I enjoyed my participation and did not find the experience overwhelming,"The OLS-2 programme provided great guidelines, resources and spaces to improve my mentorship as well as gain the support I needed. ",Mentoring calls were always constructive,"Applying FAIR principles, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mental health, self care, personal ecology, Final presentation call (open and live streamed)",I would take a break but please keep me informed about the next cohort,
I felt supported as a mentor and the training offered in the OLS-2 was adequate,,Mentoring calls were somewhat constructive,"Ally skills, Career Guidance calls",I would take a break but please keep me informed about the next cohort,
"I felt supported as a mentor and the training offered in the OLS-2 was adequate, I felt supported as a mentor but the training offered in the OLS-2 can be improved",The OLS organization is perfect. I love the topics which are relevant and practical.,Mentoring calls were mostly constructive,,I would take a break but please keep me informed about the next cohort,None at the moment. Thank you for growing Open Leaders. 
Other,Other,Mentoring calls were somewhat constructive,,,
Other,Other,Mentoring calls were always constructive,,,
"I felt supported as a mentor and the training offered in the OLS-2 was adequate, I enjoyed my participation and did not find the experience overwhelming",The mentorship training workshops were extremely valuable in my opinion. For any new mentor in the program I would certainly try to repeat this offer.,Mentoring calls were mostly constructive,"Knowledge Dissemination: open education, Preprints, open protocols, Applying FAIR principles, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open agenda and social calls",I've signed up as both expert and mentor but I'm happy to relay the baton and give this excellent opportunity to others.,
