How were your overall mentorship training and support experience in OLS?,What expectations from the OLS program were met and where can we do better?,How was your overall experience with the mentoring calls with your mentee?,"If you followed the cohort calls (notes or videos), which of the following topics introduced in these cohort calls were useful for you?","Would you be interested in returning to the next cohort as a mentor or expert, and/or join our steering committee?",Anything else you would like to share with us?
"I felt supported as a mentor and the training offered in the OLS-3 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were always constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert",
"I felt supported as a mentor and the training offered in the OLS-3 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were mostly constructive,"Ally skills, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert",
I felt supported as a mentor and the training offered in the OLS-3 was adequate,everything was excellent,Mentoring calls were always constructive,,"Yes I'd like to return as a mentor, Yes I'd like to return as an expert",excellent work everyone! looking forward to the next cohort!
"I felt supported as a mentor and the training offered in the OLS-3 was adequate, I enjoyed my participation and did not find the experience overwhelming","Initially I was paired with a project lead who I didn't feel I could mentor as effectively as another mentor, and switched project leads before the cohort kicked off. This was not a difficult process and ended up being beneficial for me and, I feel, the project lead I mentored.",Mentoring calls were always constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, open protocols, citizen science, Applying FAIR principles, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Final presentation rehearsals, Final presentation call (open and live streamed)",Yes I'd like to return as a mentor,
"I felt supported as a mentor and the training offered in the OLS-3 was adequate, I enjoyed my participation and did not find the experience overwhelming","One thing I would find useful is feedback on my mentee's experience. Sarah and I had a very productive time together but sometimes I left wondering ""Am I doing this right? Should I be doing more?""",Mentoring calls were always constructive,,"Yes I'd like to return as a mentor, Yes I'd like to return as an expert",
I felt supported as a mentor and the training offered in the OLS-3 was adequate,"The resources provided for mentors - from communication channels, through calls with other mentors, to hackmd templates for notetaking during calls - were all excellent. If there is something more that you can do to help us figure out the expectations mentees will have of mentors before they start the project (e.g. asking for more detail in their answers to the question on that point in the application form), I think that would have helped us. I felt that my mentees expected more hands-on input, on the technical side of the project, than I had intended to provide. Indeed, I had assumed at the start of the project that I would not have anything to offer them in terms of programming knowledge, that they did not already possess. In the end, I started giving them practical guidance, example code snippets, etc, to help them get unstuck with the project - perhaps shifting more into an ""expert"" role at that stage. But I think we found a balance that worked for us, so this was not really a problem in the end. ",Mentoring calls were mostly constructive,,I would take a break but please keep me informed about the next cohort,💐💐💐
I enjoyed my participation and did not find the experience overwhelming,,Mentoring calls were mostly constructive,Could not attend to cohort calls,I am not sure yet but ask me later,"I have to say that I am not sure if my mentees graduated or not. They were supposed to contact me every time they would like to talk because they could not set a fixed call due to their schedules, and for the final call to show me their presentation, they didn't. I am also not sure if they had a clear idea of what this program is, because they were not very active in contacting the people I put them in contact with."
I felt supported as a mentor and the training offered in the OLS-3 was adequate,I think the OLS team have successfully developed a welcoming and inclusive community of both mentors and mentees. ,Mentoring calls were somewhat constructive,,Yes I'd like to return as a mentor,
I felt supported as a mentor and the training offered in the OLS-3 was adequate,"I think y'all have a great program and I enjoy what you offered to the mentors. 

Confidentially, I don't think that my mentee Jennifer and I clicked very well on a personal level and that meant that there didn't seem to be much that came of what we talked about in our mentorship meetings. There were a lot of really good reasons for us to be connected as mentor/mentee (great topic, qual research, approach to openness) but somehow our personalities made our calls feel unproductive to me and seem as though I wasn't able to offer much to her. 

Jennifer is clearly dedicated to the work and to making this open, and did a good job of pulling together her team and getting the work out there. I'm very glad that she was able to do that. I did my best to offer suggestions to support her but ultimately I got the sense that my suggestions weren't things she wanted to do - which is absolutely fine, but it felt a bit awkward to continue when it seemed like it wasn't helpful and we didn't have much more to talk about. It felt like our meetings were the same and didn't do much to support her. I did my best to listen and walk through what she needed and talk about her next steps, I'm hopeful that was of use to her, but it felt pretty insignificant. 

I don't think this means that anything needs to change in the program, I just think that sometimes the connection between two people can just kind of not work very well. I'm quite open if there's feedback about how I could have handled things differently, but ultimately I think there was a personality mismatch.  ","Mentoring calls were not structured or constructive, Mentoring calls were somewhat constructive",,Yes I'd like to return as a mentor,
I felt supported as a mentor and the training offered in the OLS-3 was adequate,"Eeverything is very well organized and my expectations for traning, interactions were very well met. ",Mentoring calls were mostly constructive,"GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Applying FAIR principles, Mountain of engagement and Community interactions, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as a collaborator to run this program in my network",Nothing yet
"I felt supported as a mentor and the training offered in the OLS-3 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were always constructive,,Yes I'd like to return as a mentor,"This year was particularly complicated for me as my mentee bit, even if taking the minimum of time, we both have learn a lot"
I felt supported as a mentor and the training offered in the OLS-3 was adequate,,Mentoring calls were always constructive,,"I'd like to take a break for OLS-4, but please contact me for OLS-5 :)",
I enjoyed my participation and did not find the experience overwhelming,The inputs that were needed were judicious and great support was met!,Mentoring calls were mostly constructive,"Licensing and Code of Conduct, GitHub and README files, Applying FAIR principles, Designing for inclusion: Implicit bias, Diversity and Inclusion",Yes I'd like to return as a mentor,"No, you are awesome, OLS!"
I felt supported as a mentor and the training offered in the OLS-3 was adequate,,Mentoring calls were mostly constructive,"Designing for inclusion: Implicit bias, Diversity and Inclusion, Mental health, self care, personal ecology, Ally skills, Final presentation call (open and live streamed)","I am not sure yet, but ask me later when you have launched OLS-4",Y'all are the best :)
"I felt supported as a mentor and the training offered in the OLS-3 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were always constructive,"Licensing and Code of Conduct, GitHub and README files","Yes I'd like to return as an expert, Yes I'd like to return as a collaborator to run this program in my network, I checked yes to the collaborator option, but actually, I want to know what this means exactly.",
