How were your overall mentorship training and support experience in OLS?,What expectations from the OLS program were met and where can we do better?,How was your overall experience with the mentoring calls with your mentee?,"If you followed the cohort calls (notes or videos), which of the following topics introduced in these cohort calls were useful for you?","Would you be interested in returning to the next cohort as a mentor or expert, and/or join our steering committee?",Do you think your mentee was able to effectively engage with OLS throughout the program?,Anything else you would like to share with us?
"I felt supported as a mentor and the training offered in the OLS-7 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were somewhat constructive,"Mountain of engagement and Community interactions, Mental health, self care, personal ecology, Open office/co-working hours and social calls","Yes, I'd like to return as a mentor, Yes, I'd like to return as a collaborator to run this program in my network","No, they had difficulty engaging or attending calls",
"I felt supported as a mentor and the training offered in the OLS-7 was adequate, I enjoyed my participation and did not find the experience overwhelming","I felt the program planning was very well done and helped me keep on track of where we 'should be' eg. roadmap planning etc. The training at the start and drop-in meet ups were an excellent addition and the Slack is a great support network. The program met my expectations in enabling me to support and mentor the team. For our team, I don't think there is anything extra that you could have provided or done better.",Mentoring calls were always constructive,"Tooling and Roadmapping (open canvas, project vision, etc.), Licensing and Code of Conduct, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Open Leadership: Career Guidance call, Open office/co-working hours and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes, I'd like to return as a mentor, Yes, I'd like to return as an expert, Yes, I'd like to return as a collaborator to run this program in my network, Yes, I am interesting in joining the OLS steering committee, I would be happy to help out in anyway. There is wonderful overlap with the eLife Ambassadors community. Looking forward to discussing","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-7 was adequate, I enjoyed my participation and did not find the experience overwhelming",I think it might be useful to have examples of successful projects as a guide for mentees.,Mentoring calls were always constructive,"Tooling and Roadmapping (open canvas, project vision, etc.), Project development: Agile and iterative project management methods & Open Aspects, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes, I'd like to return as a mentor","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-7 was adequate, I enjoyed my participation and did not find the experience overwhelming","The bi-weekly meeting worked out well, it was a good frequency. 

I did not feel well integrated into the mentos community. I had a recurring calendar which did not have a link and asking last minutes was not a comfortable experience for me. 

Using Github was mainly the work of the mentee, however they would use some mentorship help on Github challenges, which I was a little short in. ",Mentoring calls were always constructive,"GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Diversity and Inclusion","Yes, I'd like to return as a mentor","No, they had difficulty engaging or attending calls",
"I felt supported as a mentor and the training offered in the OLS-7 was adequate, I found the mentorship responsibilities overwhelming","I don’t know how the relationship with the mentor are described to the mentee, how optional parts of this relationship are. ",Mentoring calls were somewhat constructive,"Project development: Agile and iterative project management methods & Open Aspects, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions","No, I would not be able to return to OLS-8, I won’t have time :/ ",They had difficulty engaging with the mentorship side of the program but they were very active attending the community calls.,
I felt supported as a mentor and the training offered in the OLS-7 was adequate,"I have found the trainings, talks and support provided by OLS, both for myself as a mentor but also for my mentee, very onto the point, helpful and enlightening in many ways. I guess you are doing everything amazingly by providing such a family and welcoming environment for every one. It feels so natural to blend in and take an action in helping or engage with all the practices offered. So I can only share my admiration for what you all are doing. ",Mentoring calls were always constructive,"Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Citizen Science, Mountain of engagement and Community interactions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Final presentation call (open and live streamed)","Yes, I'd like to return as a mentor","Yes, they were able to engage",
I felt supported as a mentor and the training offered in the OLS-7 was adequate,"From the OLS side, my expectations as a mentor were met and even went beyond. It was great to have a structured google doc to take notes during the mentoring call. Overall, I felt very supported during the program. However, I am not sure I can say the same for my mentees. Having been a project lead myself, I remember the orientation emails and the detailed instructions to help the project leads. I worry that my mentees might have had different expectations from the program and from my mentoring. Maybe it would be helpful for the mentees if there was a (mandatory or otherwise) check-in with the equivalent of HR at OLS. This is one approach I can think of, but maybe there is a better way to do this from OLS' side. ",Mentoring calls were somewhat constructive,"Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Citizen Science, Mental health, self care, personal ecology","Yes, I'd like to return as a mentor","No, they had difficulty engaging or attending calls",
I enjoyed my participation and did not find the experience overwhelming,,Mentoring calls were always constructive,"Tooling and Roadmapping (open canvas, project vision, etc.), Final presentation call (open and live streamed)","I am not sure yet, but ask me later","Yes, they were able to engage",
I enjoyed my participation and did not find the experience overwhelming,,Mentoring calls were always constructive,"Tooling and Roadmapping (open canvas, project vision, etc.), Final presentation call (open and live streamed)","I am not sure yet, but ask me later","No, they had difficulty engaging or attending calls",
I felt supported as a mentor and the training offered in the OLS-7 was adequate,,Mentoring calls were always constructive,,"Yes, I'd like to return as a mentor","Yes, they were able to engage",
