How was your overall project leadership experience in OLS?,How was your overall experience with the mentor-mentee calls?,How was your overall experience with the cohort calls?,Which of the following topics introduced in these cohort calls were useful for your open science journey?,"Would you be interested in joining as a mentor, call facilitator, or expert in the next cohort?",Would you recommend this program to others?
I was able to meet ALL my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Citizen science, open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as a collaborator to run an OLS cohort for my network, I would like to receive mentoring training and I will be good to help a mentor in some of the mentoring work in either OLS-2 or subsequent cohorts.",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Mental health, self care, personal ecology, Career Guidance calls, Open agenda and social calls",Yes I'd like to return as a mentor,Yes
I was able to meet ALL my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Knowledge Dissemination: Citizen science, open education, Preprints, open protocols, Mountain of engagement and Community interactions, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as a collaborator to run an OLS cohort for my network",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Citizen science, open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Open agenda and social calls, Final presentation call (open and live streamed)",Yes I'd like to return as a collaborator to run an OLS cohort for my network,Yes
I was able work on my project but only PARTIALLY,Mentoring calls were mostly useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Citizen science, open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open agenda and social calls",Yes I'd like to return as a mentor,Yes
I was able to meet ALL my goals,Mentoring calls were mostly useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Open agenda and social calls","No, I would not be able to return to OLS-2, I don't feel qualified yet, and I feel I would do a disservice to the mentee",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were always useful,"Licensing and Code of Conduct, Knowledge Dissemination: Citizen science, open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Mental health, self care, personal ecology, Ally skills","I am not sure yet, but ask me later when you have launched OLS-2",Yes
Goals evolved as we learned but we were very productive ,Mentoring calls were mostly useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, Knowledge Dissemination: Citizen science, open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Ally skills","Yes I'd like to return as an expert, I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were mostly useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Open agenda and social calls, Final presentation rehearsals","I am not sure yet, but ask me later when you have launched OLS-2, definitely, tho depending on the role. I'd love to be a mentor but not sure my experience will be as useful to academics ",Yes
I was able to meet MOST of my goals,Mentoring calls were somewhat useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Citizen science, open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)","I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Ally skills, Career Guidance calls, Final presentation rehearsals, Final presentation call (open and live streamed)","I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Citizen science, open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)","I am not sure yet, but ask me later when you have launched OLS-2, I'm not sure I have the skills as a mentor/expert?",Yes
