How was your overall project leadership experience in OLS?,How was your overall experience with the mentor-mentee calls?,How was your overall experience with the cohort calls?,Which of the following topics introduced in these cohort calls were useful for your open science journey?,"Would you be interested in joining as a mentor, call facilitator, or expert in the next cohort?",Would you recommend this program to others?
I was able to meet MOST of my goals,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Final presentation rehearsals",Yes I'd like to return as a mentor,Yes
I was able to meet MOST of my goals,Mentoring calls were mostly useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Final presentation rehearsals, I have not been able to take advantage of the co-working due to a lack of time, but I would have liked to do it.","Yes I'd like to return as a mentor, Yes I'd like to return as a call facilitator",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Diversity & Inclusion, Open office/co-working hours and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)","I am not sure yet, but ask me later",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Citizen Science, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Final presentation rehearsals, Final presentation call (open and live streamed)","I am not sure yet, but ask me later",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Citizen Science, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Final presentation call (open and live streamed)",Yes I'd like to return as a mentor,Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Diversity & Inclusion, Mental health, self care, personal ecology, Ally skills, Open office/co-working hours and social calls, Final presentation call (open and live streamed)","I am not sure yet, but ask me later",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Data management plans, software citation, Mountain of engagement and Community interactions, Mental health, self care, personal ecology, Ally skills, Open office/co-working hours and social calls","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I'd like to return as a call facilitator",Yes
I was able to meet ALL my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Ally skills, Open Leadership: Career Guidance call, Open office/co-working hours and social calls, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I'd like to return as a call facilitator, Yes I'd like to return as a collaborator to run an OLS cohort for my network",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as a call facilitator, Yes I'd like to return as a collaborator to run an OLS cohort for my network",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Data management plans, software citation, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as a call facilitator",Yes
I was able to meet ALL my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Citizen Science, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Open office/co-working hours and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as a call facilitator",Yes
I was able to meet ALL my goals,Mentoring calls were always useful,They were somewhat useful,"Tooling and Roadmapping (open canvas, project vision etc.), Project development: Agile and iterative project management methods & Open Aspects, Citizen Science, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Final presentation rehearsals, Final presentation call (open and live streamed)",Yes I'd like to return as an expert,Yes
I was able work on my project but only PARTIALLY,Mentoring calls were mostly useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Mountain of engagement and Community interactions","I am not sure yet, but ask me later",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Diversity & Inclusion, Persona and pathways and inviting contributions, Final presentation call (open and live streamed)","I am not sure yet, but ask me later",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were somewhat useful,GitHub and README files,"No, I would not be able to return to OLS-8",Maybe
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,"They were somewhat useful, I could not attend","Tooling and Roadmapping (open canvas, project vision etc.), Diversity & Inclusion","No, I would not be able to return to OLS-8",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology","I am not sure yet, but ask me later, I'd like to help but would need to know expected time allocations",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were somewhat useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Project development: Agile and iterative project management methods & Open Aspects, Data management plans, software citation, Persona and pathways and inviting contributions, Open Leadership: Career Guidance call, Final presentation rehearsals","Yes I'd like to return as a mentor, Yes I'd like to return as a call facilitator",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were mostly useful,"GitHub and README files, Mental health, self care, personal ecology",Yes I'd like to return as a mentor,Yes
