How was your overall project leadership experience in OLS?,How was your overall experience with the mentor-mentee calls?,How was your overall experience with the cohort calls?,Which of the following topics introduced in these cohort calls were useful for your open science journey?,"Would you be interested in joining as a mentor, call facilitator, or expert in the next cohort?",Would you recommend this program to others?
I was able work on my project but only PARTIALLY,Mentoring calls were mostly useful,They were somewhat useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, Persona and pathways and inviting contributions","No, I would not be able to return to OLS-6",Maybe
I was able to meet ALL my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Citizen Science, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Open office/co-working hours and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I'd like to return as a call facilitator",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Persona and pathways and inviting contributions, Final presentation rehearsals, Final presentation call (open and live streamed)","No, I would not be able to return to OLS-6",Yes
I was able to meet MOST of my goals,Mentoring calls were mostly useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Knowledge Dissemination: Preprints, Training and Code Publishing, Citizen Science, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Final presentation rehearsals, Final presentation call (open and live streamed)","I am not sure yet, but ask me later",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology","I am not sure yet, but ask me later, ",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Data management plans, software citation",Yes I'd like to return as a mentor,Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Final presentation call (open and live streamed)",Yes I'd like to return as a mentor,Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Diversity & Inclusion, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Final presentation call (open and live streamed)","I am not sure yet, but ask me later",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), GitHub and README files, Data management plans, software citation, Mountain of engagement and Community interactions, Mental health, self care, personal ecology","I am not sure yet, but ask me later, ",Yes
I was able to meet ALL my goals,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Mountain of engagement and Community interactions, Open office/co-working hours and social calls, Final presentation rehearsals","Yes I'd like to return as a collaborator to run an OLS cohort for my network, I am not sure yet, but ask me later",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Final presentation call (open and live streamed)",Maybe in OLS-7?,Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Open Leadership: Career Guidance call, Final presentation rehearsals, Final presentation call (open and live streamed)",Yes I'd like to return as a mentor,Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Final presentation call (open and live streamed)","I am not sure yet, but ask me later",Yes
